ENTIDAD	EduDad	EduMom	floors	walls	sanitary	OverCr	dvd	cellPhone	fridge	washMach	heater	microWave	soundEqui	car	books	SEXO	ZONA	SECTOR	INSE
Medellín	0.149747616376893	0.0863712843522154	0.0190689848569826	0.0151430173864274	0.0280426247896803	0.0201906898485698	0	0	0	0	0	0	0	0	0.0644980370162647	0.00336511497476164	0	0	0
Meta	0.122681883024251	0.0884450784593438	0.0171184022824536	0.0114122681883024	0.0242510699001427	0.0342368045649073	0	0	0	0	0	0	0	0	0.0656205420827389	0.0014265335235378	0	0	0
Montería	0.21563981042654	0.187203791469194	0.014218009478673	0.0213270142180095	0.033175355450237	0.028436018957346	0	0	0	0	0	0	0	0	0.0758293838862559	0.00710900473933649	0	0	0
Mosquera	0.0782608695652174	0.104347826086957	0.0173913043478261	0.00869565217391304	0.0347826086956522	0.0434782608695652	0	0	0	0	0	0	0	0	0.0434782608695652	0	0	0	0
Nariño	0.0911458333333333	0.0442708333333333	0.0130208333333333	0.0078125	0.015625	0.0104166666666667	0	0	0	0	0	0	0	0	0.0703125	0	0	0	0
Neiva	0.0772727272727273	0.05	0.00909090909090909	0.00454545454545455	0.00909090909090909	0.0227272727272727	0	0	0	0	0	0	0	0	0.0545454545454545	0	0	0	0
Norte de Santander	0.124161073825503	0.0894854586129754	0.0145413870246085	0.0134228187919463	0.023489932885906	0.0156599552572707	0	0	0	0	0	0	0	0	0.0592841163310962	0.00223713646532438	0	0	0
Palmira	0.122448979591837	0.076530612244898	0.00510204081632653	0	0	0.00510204081632653	0	0	0	0	0	0	0	0	0.0510204081632653	0	0	0	0
Pasto	0.125	0.0657894736842105	0.00657894736842105	0.00657894736842105	0.0131578947368421	0.00657894736842105	0	0	0	0	0	0	0	0	0.0460526315789474	0.00657894736842105	0	0	0
Pereira	0.2	0.109756097560976	0.00731707317073171	0.0121951219512195	0.024390243902439	0.0219512195121951	0	0	0	0	0	0	0	0	0.0560975609756098	0.0024390243902439	0	0	0
Piedecuesta	0.100917431192661	0.055045871559633	0.00917431192660551	0.00917431192660551	0.00917431192660551	0.0275229357798165	0	0	0	0	0	0	0	0	0.055045871559633	0.00917431192660551	0	0	0
Pitalito	0.0857142857142857	0.0285714285714286	0.00714285714285714	0	0.0142857142857143	0.00714285714285714	0	0	0	0	0	0	0	0	0.0857142857142857	0	0	0	0
Popayán	0.13953488372093	0.0959302325581395	0.0232558139534884	0.00872093023255814	0.0232558139534884	0.0261627906976744	0	0	0	0	0	0	0	0	0.0726744186046512	0.00581395348837209	0	0	0
Putumayo	0.113989637305699	0.077720207253886	0.0077720207253886	0.0103626943005181	0.0310880829015544	0.0310880829015544	0	0	0	0	0	0	0	0	0.0518134715025907	0.00259067357512953	0	0	0
Quibdó	0.23728813559322	0.11864406779661	0.0338983050847458	0	0.0169491525423729	0.0508474576271186	0	0	0	0	0	0	0	0	0.0338983050847458	0	0	0	0
Quindío	0.140096618357488	0.0821256038647343	0.00966183574879227	0.00966183574879227	0.0193236714975845	0.0434782608695652	0	0	0	0	0	0	0	0	0.101449275362319	0.00966183574879227	0	0	0
Riohacha	0.0789473684210526	0.0263157894736842	0	0	0	0.0263157894736842	0	0	0	0	0	0	0	0	0.0263157894736842	0	0	0	0
Rionegro	0.121951219512195	0.0609756097560976	0.0121951219512195	0.0121951219512195	0.0121951219512195	0.0121951219512195	0	0	0	0	0	0	0	0	0.0609756097560976	0	0	0	0
Risaralda	0.114864864864865	0.0878378378378378	0.0202702702702703	0.00675675675675676	0.0135135135135135	0.00675675675675676	0	0	0	0	0	0	0	0	0.027027027027027	0.00675675675675676	0	0	0
San Andrés	0.1	0.1	0	0.025	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0
Santa Marta	0.140625	0.119791666666667	0.0234375	0.015625	0.0364583333333333	0.046875	0	0	0	0	0	0	0	0	0.0677083333333333	0.00260416666666667	0	0	0
Santander	0.0742049469964664	0.0424028268551237	0.00530035335689046	0.00706713780918728	0.0123674911660777	0.0123674911660777	0	0	0	0	0	0	0	0	0.0618374558303887	0	0	0	0
Sincelejo	0.121428571428571	0.0821428571428571	0.00357142857142857	0.00714285714285714	0.0107142857142857	0.025	0	0	0	0	0	0	0	0	0.0821428571428571	0.00357142857142857	0	0	0
Soacha	0.122641509433962	0.0534591194968553	0.00628930817610063	0.00471698113207547	0.0125786163522013	0.020440251572327	0	0	0	0	0	0	0	0	0.0408805031446541	0	0	0	0
Soledad	0.0962962962962963	0.1	0.0037037037037037	0.00740740740740741	0.0185185185185185	0.0185185185185185	0	0	0	0	0	0	0	0	0.0518518518518519	0	0	0	0
Sucre	0.106425702811245	0.0823293172690763	0.0220883534136546	0.0120481927710843	0.034136546184739	0.0321285140562249	0	0	0	0	0	0	0	0	0.0783132530120482	0.00602409638554217	0	0	0
