PERIODO;DANE_ESTABLECIMIENTO;DANE_SEDE;PROM MATEMÁTICA;PROM CIENCIAS SOCIALES;PROM FILOSOFÍA;PROM BIOLOGÍA;PROM QUÍMICA;PROM FÍSICA;PROM NGLÉS;ESTUDIANTES
20132;308001000921;308001000921;48,56521739;45,1242236;41,36024845;47,48447205;46,25465839;47,34782609;50,82608696;161
20131;105001001155;105001001155;38,57142857;39,14285714;35,14285714;42,35714286;41,14285714;38,78571429;41,92857143;14
20132;376001032135;376001032135;43,16666667;40,83333333;40;47,16666667;49,66666667;45,83333333;43,5;6
20131;315176000067;315176000067;51;44,75;46,5;51;51,5;44,25;54;8
20132;373001012078;373001012078;53;33;36;49;42;47;40;1
20132;213074000961;213074000961;40,52380952;43,42857143;35,11904762;41,23809524;42,33333333;41,95238095;41,66666667;42
20132;118205000187;283094001571;43,04347826;44,50724638;36,73913043;42,39130435;43,7826087;44,75362319;41,42028986;69
20131;205172000062;205172000062;36,2;43;43;42,8;41;37,2;37,8;5
20132;185001000268;185001000268;41,52857143;42,07142857;37,97142857;40,52857143;42,1;39,95714286;38,65714286;70
20132;273236000172;273236000172;45,05882353;44,17647059;43,70588235;43,82352941;46,58823529;47,17647059;42,23529412;17
20131;111001011053;111001011053;47,55555556;46,66666667;42,44444444;47,16666667;47;47,11111111;44,38888889;18
20131;152585000188;152585000188;55,5;46;35,25;48,25;48;43,5;44,25;4
20132;311001005168;311001005168;51,64814815;50,83333333;44,75925926;50,61111111;52,14814815;51,72222222;54,24074074;54
20132;354498002591;354498002591;41,66666667;38,92592593;35,51851852;40,14814815;38,66666667;39,44444444;38,92592593;27
20132;150001004664;150001004664;43,79220779;44,54545455;41,16883117;43,76623377;43,18181818;44,28571429;44,12987013;77
20132;308758076801;308758076801;39,63888889;42,11111111;36,22222222;40,5;38,80555556;41,02777778;40,88888889;36
20131;325754000046;325754000046;48,4;51,2;44,6;46,2;51,2;45,2;46,6;5
20132;311001107165;311001107165;46,88;46,76;43,6;45,6;46,56;45,44;45,68;25
20132;373001012836;373001012836;42,71641791;41,19402985;35,04477612;42,40298507;42,56716418;40,86567164;41,80597015;67
20132;111001104558;111001104558;45,49019608;46,44117647;41,37254902;46,14705882;47,2254902;46,88235294;43,34803922;204
20131;311001002428;311001002428;57;52,2;57,6;50;54,8;54,8;72,4;5
20132;163548000226;163548000226;42,39285714;40,42857143;36,78571429;43,35714286;42,39285714;35,60714286;43,39285714;28
20132;152001000793;152001000793;65,84251969;57,54330709;52,68503937;57,61417323;63,92913386;58,73228346;59,07086614;127
20132;250001003212;250001003212;43,625;45,66666667;41,33333333;44,08333333;47,75;48;45,16666667;24
20132;105001021369;105001021369;45,58333333;44,66666667;41,91666667;46,80555556;45,33333333;45,27777778;45,52777778;36
20131;225594000830;225594000830;35;38;38;51;26;34;45;1
20132;152356000166;152356000166;54;52,42857143;49,61428571;52,27142857;53,12857143;49,04285714;45,74285714;70
20131;105670000415;105670000415;43,5;58;36,5;46,5;39,5;41,5;33;2
20132;176130000399;176130000356;43,09859155;45,32394366;41,46478873;44,57746479;47,32394366;47,11267606;43,61971831;71
20132;105440000068;105440000068;45,18518519;44,67592593;41,76851852;45,56481481;43,25925926;43,84259259;46,67592593;108
20132;354518001490;354518001490;37,88888889;42,88888889;38,22222222;38,66666667;42,11111111;37,33333333;43,88888889;9
20131;115676000013;115676000013;58;53;62;62;62;60;45;1
20131;150001000189;150001000189;43,5;38,5;39;43;33;50;47;2
20131;111001086720;111001086720;42,5;45,16666667;38;45,66666667;45,5;41;46,66666667;6
20131;168575000329;168575000329;53,66666667;43;37;44,66666667;49,66666667;43;43,33333333;3
20132;219100002932;219100002932;42,11764706;44,05882353;36,44117647;41,79411765;43,20588235;43,26470588;42,55882353;34
20132;225572000470;225572000470;37,75;48;37,25;41;44,75;49,25;42,5;4
20131;341298000034;341298000034;46,25;50;46;52;44;44,75;37;4
20132;147692000057;147692000057;39,46575342;39,10958904;36,54794521;41,43835616;39,97260274;38,56164384;38,09589041;73
20131;205670000452;205670000452;45;51;53;47;47;52;47;1
20132;252378000067;252378000067;38,61111111;38,11111111;37,33333333;42,33333333;40,05555556;36,38888889;39,22222222;18
20131;168235000022;168235000022;45,5;44,83333333;40,83333333;42,16666667;46,33333333;42,83333333;36,16666667;6
20131;105001011061;105001011061;51,5;42,5;34;46,5;48;41;48;2
20131;115001002017;115001002017;52,05555556;48,16666667;47,72222222;49,25;50,86111111;47,47222222;50,05555556;36
20132;223189001117;223189001117;40,63043478;39,89130435;36,69565217;41,97826087;44,86956522;42,13043478;40,06521739;46
20132;305001025193;305001025193;37,35483871;39,32258065;37,93548387;39,83870968;38,51612903;37,19354839;36,74193548;31
20132;276001011184;276001011184;44,22222222;46;38,44444444;44,88888889;43,77777778;49,33333333;40,11111111;9
20132;166170000108;166170000108;49,58064516;50,93548387;44,06451613;49,11827957;49,43010753;48,02150538;53,58064516;93
20132;166001007136;166001007136;43,64912281;43,14035088;38,94736842;43,84210526;44,66666667;43,64912281;45,07017544;57
20132;368001007138;368001007138;38,35714286;42,375;35,25;42,51785714;39,94642857;38,26785714;39,67857143;56
20132;170702000150;170702000150;41,41538462;42,07692308;37,18461538;40,89230769;41,03076923;40,49230769;39,61538462;65
20131;205030000243;205030000243;45;53;33;41;43;31;43;1
20131;417001005373;417001005373;57,55172414;52,93103448;50,55172414;53,37931034;58,68965517;53,20689655;73,55172414;29
20132;376834000121;376834000121;44,75;49,625;44,625;50,5;47,25;49,625;48,375;8
20132;111001102016;111001102016;46,2081448;46,19909502;39,97737557;46,33484163;45,88235294;44,86425339;45,90497738;221
20132;376001028944;376001028944;38,28;39,48;36,08;38,88;39,72;38,64;38,6;25
20132;254874000223;254874000223;44,85714286;45,42857143;40,35714286;45,42857143;44;47,07142857;39,28571429;14
20132;176895000168;376895000426;43,01769912;44,36283186;38,84955752;43,3539823;43,56637168;42,67256637;42,19469027;113
